# range of table (0.03,5.025)
3.37166 6.42673 -0.159108 0.704106
3.37665 6.42593 -0.163883 0.923523
3.38165 6.42516 -0.138894 3.4277
3.38664 6.42446 -0.154436 -6.40576
3.39164 6.42361 -0.182543 -1.74972
3.39663 6.42273 -0.161975 5.05816
3.40163 6.42195 -0.156597 -2.22592
3.40662 6.42112 -0.177968 -4.05579
3.41162 6.4202 -0.18436 2.26338
3.41661 6.41934 -0.157888 2.83045
3.42161 6.41852 -0.178178 -5.1899
3.4266 6.41761 -0.18174 1.71276
3.4316 6.41672 -0.175069 -1.71714
3.43659 6.41578 -0.204341 -2.46013
3.44159 6.41482 -0.173234 2.91389
3.44658 6.41387 -0.210825 7.03835
3.45158 6.41322 -0.0215074 22.199
3.45657 6.41287 -0.187367 -41.249
3.46157 6.41177 -0.202985 10.9193
3.46656 6.41079 -0.20121 -2.39511
3.47156 6.4098 -0.192162 -1.26257
3.47655 6.40874 -0.230104 7.3798
3.48155 6.40798 -0.0471267 23.8847
3.48654 6.40757 -0.182127 -38.7734
3.49154 6.40644 -0.228913 7.5058
3.49653 6.40541 -0.187973 -0.423475
3.50153 6.40432 -0.25365 3.41828
3.50652 6.40348 -0.0439422 28.759
3.51152 6.40305 -0.20681 -43.1638
3.51651 6.40186 -0.215838 9.82545
3.52151 6.40073 -0.250264 3.98623
3.5265 6.39986 -0.0647976 24.9277
3.5315 6.39933 -0.219252 -43.7762
3.53649 6.398 -0.257111 22.6061
3.54149 6.39717 -0.0646068 20.5241
3.54648 6.39664 -0.214008 -43.7597
3.55148 6.39527 -0.282038 19.1234
3.55647 6.39437 -0.0563764 24.2572
3.56147 6.39379 -0.252873 -37.1733
3.56646 6.39271 -0.096008 37.9235
3.57146 6.39215 -0.209473 -44.5686
3.57645 6.39076 -0.299777 14.0779
3.58145 6.38974 -0.0813488 27.0329
3.58644 6.38909 -0.252195 -34.2511
3.59144 6.388 -0.107194 31.7677
3.59643 6.38729 -0.25166 -31.4301
3.60143 6.38619 -0.113311 32.2687
3.60642 6.38552 -0.233131 -42.4248
3.61142 6.38407 -0.298601 16.9532
3.61641 6.38303 -0.0990027 22.3207
3.62141 6.38226 -0.27527 -33.1011
3.6264 6.3811 -0.109301 36.6164
3.6314 6.38039 -0.258236 -39.5473
3.63639 6.37912 -0.171427 40.5488
3.64139 6.37859 -0.079565 -11.8649
3.64638 6.37773 -0.298191 -29.0172
3.65138 6.37648 -0.12426 35.3546
3.65637 6.37564 -0.297249 -36.8249
3.66137 6.3744 -0.109357 42.603
3.66636 6.37368 -0.274645 -46.4009
3.67136 6.3723 -0.191367 42.2143
3.67635 6.37166 -0.106821 -10.6235
3.68135 6.37075 -0.283123 -27.7811
3.68634 6.36941 -0.191068 37.4837
3.69134 6.36877 -0.101277 -9.89664
3.69633 6.36783 -0.309428 -31.7551
3.70133 6.36643 -0.168701 46.9296
3.70632 6.36586 -0.119764 -21.033
3.71132 6.36482 -0.308528 -24.885
3.71631 6.36341 -0.189253 40.8683
3.72131 6.36275 -0.123402 -14.411
3.7263 6.36173 -0.305172 -27.1801
3.7313 6.3603 -0.20182 36.1951
3.73629 6.3595 -0.161201 -4.58266
3.74129 6.35871 -0.150602 -6.31483
3.74628 6.35764 -0.306584 -24.902
3.75128 6.35621 -0.200296 35.5012
3.75627 6.35539 -0.172375 -9.72743
3.76127 6.35446 -0.189953 3.41314
3.76626 6.35361 -0.147612 -3.86573
3.77126 6.35252 -0.326246 -30.4484
3.77625 6.35101 -0.205477 42.0509
3.78125 6.3502 -0.168334 -11.6998
3.78624 6.34925 -0.204627 -1.2695
3.79124 6.34828 -0.175875 4.64317
3.79623 6.34735 -0.209482 -5.05487
3.80123 6.34641 -0.147935 3.46935
3.80622 6.34532 -0.341676 -37.9903
3.81122 6.34369 -0.226642 44.3182
3.81621 6.34278 -0.192626 -11.8795
3.82121 6.34175 -0.202204 3.12772
3.8262 6.34076 -0.199144 -0.815784
3.8312 6.33976 -0.201448 0.301162
3.83619 6.33877 -0.194963 -0.349282
3.84119 6.33774 -0.221617 -4.60796
3.84618 6.33666 -0.200549 5.99973
3.85118 6.33565 -0.214674 -6.6031
3.85617 6.33453 -0.225633 2.02749
3.86117 6.33346 -0.199262 4.17619
3.86616 6.33245 -0.216003 -6.02383
3.87116 6.33134 -0.221132 1.59732
3.87615 6.33025 -0.219403 -0.442538
3.88115 6.32915 -0.221311 0.19358
3.88614 6.32805 -0.215058 -0.284255
3.89114 6.32693 -0.241833 -4.67845
3.89613 6.32575 -0.218667 6.03962
3.90113 6.32463 -0.242443 -6.3804
3.90612 6.32346 -0.212302 6.31859
3.91112 6.32231 -0.267822 -5.81575
3.91611 6.32126 -0.0994269 35.9718
3.92111 6.3207 -0.20925 -44.7165
3.9261 6.31942 -0.248436 11.9817
3.9311 6.31824 -0.23728 -3.22514
3.93609 6.31703 -0.242629 0.894916
3.94109 6.31585 -0.232444 -0.307959
3.94608 6.31461 -0.267437 0.363886
3.95108 6.31355 -0.120836 30.034
3.95607 6.3129 -0.207311 -38.4762
3.96107 6.31161 -0.27061 5.35444
3.96606 6.31035 -0.23035 3.55051
3.97106 6.3091 -0.288183 -5.99274
3.97605 6.30795 -0.120792 37.2446
3.98105 6.30729 -0.228763 -45.6555
3.98604 6.30592 -0.261457 12.3358
3.99104 6.30461 -0.285639 -3.6102
3.99603 6.30343 -0.140858 31.9319
4.00103 6.30269 -0.232737 -39.3293
4.00602 6.30133 -0.260641 10.7003
4.01102 6.30002 -0.284902 -3.40183
4.01601 6.29883 -0.145223 32.1509
4.02101 6.2981 -0.21772 -39.2294
4.026 6.29668 -0.316439 4.57975
4.031 6.29544 -0.141821 35.5323
4.03599 6.29468 -0.242128 -45.576
4.04099 6.2932 -0.297065 16.6491
4.04598 6.29203 -0.156883 22.059
4.05098 6.29118 -0.24293 -36.669
4.05597 6.28969 -0.317733 8.61059
4.06097 6.28843 -0.153472 30.1076
4.06596 6.28756 -0.276093 -40.4665
4.07096 6.28621 -0.173772 43.0034
4.07595 6.2854 -0.237283 -42.4253
4.08095 6.28389 -0.320604 9.79655
4.08594 6.28264 -0.148164 30.5824
4.09094 6.28175 -0.298585 -46.7471
4.09593 6.28032 -0.165274 51.1788
4.10093 6.27946 -0.293272 -52.4725
4.10592 6.27802 -0.168443 52.8919
4.11092 6.27716 -0.286619 -52.8341
4.11591 6.2757 -0.192611 47.4348
4.12091 6.27477 -0.273711 -40.8697
4.1259 6.27342 -0.181358 39.4498
4.1309 6.27246 -0.294064 -44.4372
4.13589 6.27101 -0.18825 45.7856
4.14089 6.27007 -0.287836 -45.9624
4.14588 6.2686 -0.206991 40.8676
4.15088 6.26756 -0.297384 -39.8645
4.15587 6.26612 -0.188184 44.9248
4.16087 6.26517 -0.286436 -46.0608
4.16586 6.2637 -0.211069 41.0065
4.17086 6.26267 -0.283875 -39.1842
4.17585 6.26118 -0.238534 36.6663
4.18085 6.26026 -0.168813 -7.7017
4.18584 6.25916 -0.294383 -26.2717
4.19084 6.25769 -0.237785 33.0926
4.19583 6.25677 -0.162377 -5.88649
4.20083 6.25565 -0.322019 -33.7336
4.20582 6.25411 -0.209531 44.2852
4.21082 6.25307 -0.301331 -46.4722
4.21581 6.25149 -0.243177 44.5213
4.22081 6.25056 -0.180004 -14.651
4.2258 6.24935 -0.322173 -25.7207
4.2308 6.2478 -0.230756 39.946
4.23579 6.24684 -0.211197 -16.8157
4.24079 6.24574 -0.201611 7.24235
4.24578 6.24457 -0.309549 -31.1252
4.25078 6.24299 -0.259203 34.7054
4.25577 6.24196 -0.188288 -6.30458
4.26077 6.24077 -0.314721 -27.9862
4.26576 6.2392 -0.250657 35.0335
4.27076 6.23814 -0.21842 -10.3734
4.27575 6.23705 -0.195236 6.55102
4.28075 6.23587 -0.328474 -37.6129
4.28574 6.23419 -0.262675 42.7481
4.29074 6.23315 -0.202505 -10.5024
4.29573 6.23202 -0.248086 -4.28315
4.30073 6.23085 -0.200181 10.6147
4.30572 6.22968 -0.322233 -38.5048
4.31072 6.22799 -0.281127 37.2513
4.31571 6.22685 -0.212508 -4.00311
4.32071 6.22574 -0.233937 -4.16437
4.3257 6.22453 -0.247323 0.0689249
4.3307 6.22335 -0.217188 3.78197
4.33569 6.22208 -0.32966 -31.777
4.34069 6.2204 -0.275878 36.3282
4.34568 6.21925 -0.230337 -9.76216
4.35068 6.21804 -0.242276 2.65391
4.35567 6.21684 -0.240628 -0.941634
4.36067 6.21564 -0.235443 1.11998
4.36566 6.21443 -0.258867 -6.73597
4.37066 6.21314 -0.242855 8.24568
4.37565 6.21194 -0.255772 -8.51098
4.38065 6.21064 -0.247398 7.99028
4.38564 6.20945 -0.240267 -2.60562
4.39064 6.20825 -0.232711 -0.59583
4.39563 6.20689 -0.347847 -31.2114
4.40063 6.2051 -0.302137 35.6422
4.40562 6.20386 -0.232422 -3.23942
4.41062 6.20264 -0.255016 -4.74921
4.41561 6.20134 -0.261378 1.24506
4.42061 6.20004 -0.259665 -0.297135
4.4256 6.19874 -0.259664 0.116288
4.4306 6.19744 -0.261633 -0.359252
4.43559 6.19615 -0.253867 1.42241
4.44059 6.19484 -0.283045 -5.45872
4.44558 6.1936 -0.169721 34.7167
4.45058 6.19277 -0.236968 -44.2151
4.45557 6.19134 -0.279964 17.3462
4.46057 6.19006 -0.250257 -3.62271
4.46556 6.18874 -0.279602 -5.79002
4.47056 6.18735 -0.263142 8.3287
4.47555 6.18605 -0.275985 -9.02259
4.48055 6.18465 -0.264824 9.11769
4.48554 6.18335 -0.272962 -8.6483
4.49054 6.18195 -0.275495 4.02512
4.49553 6.18054 -0.305398 -7.59308
4.50053 6.1792 -0.179275 41.8068
4.50552 6.17839 -0.229401 -45.809
4.51052 6.17695 -0.293792 12.2326
4.51551 6.17556 -0.275973 -3.13784
4.52051 6.17416 -0.282144 0.493203
4.5255 6.17276 -0.275238 1.06587
4.5305 6.17135 -0.297209 -4.8906
4.53549 6.16999 -0.213936 28.1635
4.54049 6.16899 -0.244433 -30.5533
4.54548 6.16756 -0.292156 7.36328
4.55048 6.16617 -0.267194 0.970544
4.55547 6.16475 -0.319733 -13.5055
4.56047 6.1633 -0.201747 44.92
4.56546 6.16239 -0.251954 -48.8056
4.57046 6.16086 -0.292757 21.5223
4.57545 6.15946 -0.30731 -17.6117
4.58045 6.158 -0.226056 37.8914
4.58544 6.157 -0.239284 -33.1196
4.59044 6.15557 -0.29778 4.75778
4.59543 6.15406 -0.319706 -7.66675
4.60043 6.1526 -0.221249 36.1942
4.60542 6.1516 -0.248498 -37.4549
4.61042 6.15006 -0.332933 3.53671
4.61541 6.14861 -0.218211 33.3932
4.62041 6.1476 -0.24887 -36.7488
4.6254 6.14607 -0.332842 3.15705
4.6304 6.14461 -0.218348 33.8548
4.63539 6.14361 -0.249598 -37.4115
4.64039 6.14207 -0.328224 4.81329
4.64538 6.14061 -0.236146 25.9535
4.65038 6.13951 -0.252947 -27.4064
4.65537 6.13797 -0.34701 -7.05918
4.66037 6.13641 -0.225873 44.2689
4.66536 6.13541 -0.26042 -47.084
4.67036 6.13378 -0.342414 11.8635
4.67535 6.13232 -0.221347 29.0401
4.68035 6.1312 -0.300738 -47.1309
4.68534 6.12962 -0.234068 57.5961
4.69034 6.12861 -0.277392 -58.7621
4.69533 6.12701 -0.261428 51.1354
4.70033 6.12592 -0.259925 -41.5963
4.70532 6.12429 -0.356252 2.96513
4.71032 6.12272 -0.233982 37.5483
4.71531 6.12161 -0.292395 -48.5066
4.72031 6.12002 -0.251544 51.5418
4.7253 6.11892 -0.286974 -52.3627
4.7303 6.11732 -0.254296 52.3654
4.73529 6.11622 -0.282465 -51.3071
4.74029 6.11462 -0.268688 45.4267
4.74528 6.11342 -0.297348 -45.5355
4.75028 6.11183 -0.247363 53.0345
4.75527 6.11072 -0.302045 -61.2049
4.76027 6.10903 -0.260959 63.483
4.76526 6.10793 -0.297714 -64.1384
4.77026 6.10623 -0.263978 63.9716
4.77525 6.10513 -0.291793 -62.3434
4.78025 6.10343 -0.283138 54.6021
4.78524 6.10223 -0.287718 -46.6795
4.79024 6.10064 -0.267845 45.4191
4.79523 6.09943 -0.299227 -49.1321
4.80023 6.09773 -0.301359 42.0435
4.80522 6.09655 -0.209258 -4.37868
4.81022 6.09534 -0.301957 -28.8614
4.81521 6.09374 -0.282929 31.1746
4.82021 6.09244 -0.291939 -29.9947
4.8252 6.09084 -0.303478 22.7746
4.8302 6.08956 -0.220234 8.9664
4.83519 6.08834 -0.311144 -40.2152
4.84019 6.08664 -0.29708 40.9616
4.84518 6.08546 -0.219073 -8.90635
4.85018 6.08414 -0.330838 -31.9915
4.85517 6.08245 -0.274176 48.3897
4.86017 6.08125 -0.29271 -49.5755
4.86516 6.07955 -0.313934 36.9356
4.87016 6.07826 -0.236168 -4.2718
4.87515 6.07706 -0.237698 2.36565
4.88015 6.07575 -0.316657 -31.114
4.88514 6.07406 -0.30924 31.4206
4.89014 6.07277 -0.233421 -1.03632
4.89513 6.07146 -0.317076 -30.0679
4.90013 6.06976 -0.310431 30.4987
4.90512 6.06847 -0.229406 1.57554
4.91012 6.06716 -0.331871 -39.6845
4.91511 6.06537 -0.316755 42.6497
4.92011 6.06407 -0.248133 -13.4498
4.9251 6.06277 -0.250682 11.0251
4.9301 6.06147 -0.30954 -32.6014
4.93509 6.05977 -0.320054 26.7622
4.94009 6.05838 -0.26392 -3.50245
4.94508 6.05708 -0.242054 11.1183
4.95008 6.05578 -0.327591 -43.1901
4.95507 6.05398 -0.316849 45.3181
4.96007 6.05268 -0.256749 -19.9932
4.96506 6.05128 -0.277731 11.0816
4.97006 6.04999 -0.250898 -0.587948
4.97505 6.04858 -0.339721 -33.8673
4.98005 6.04679 -0.315202 42.4523
4.98504 6.04549 -0.254142 -17.3593
4.99004 6.04409 -0.289184 3.19666
4.99503 6.04269 -0.268935 4.87753
5.00003 6.04139 -0.254267 0.846191
5.00502 6.03999 -0.33461 -32.6122
5.01002 6.03819 -0.329405 34.3646
5.01501 6.0368 -0.266483 -9.06189
5.02001 6.0354 -0.284493 1.83964
