# range of table (0,6.26256)
0.939384 0.807194 0.590297 -0.805139
0.945647 0.810875 0.585243 -0.810116
0.951909 0.814524 0.580147 -0.817304
0.958172 0.818141 0.575006 -0.824493
0.964434 0.821726 0.569839 -0.824094
0.970697 0.825279 0.564686 -0.821759
0.976959 0.828799 0.559547 -0.819553
0.983222 0.832287 0.554385 -0.828783
0.989484 0.835743 0.549166 -0.838014
0.995747 0.839165 0.54389 -0.845343
1.00201 0.842555 0.538594 -0.846148
1.00827 0.845911 0.533292 -0.846952
1.01453 0.849234 0.527985 -0.848154
1.0208 0.852524 0.522668 -0.849863
1.02706 0.855781 0.517341 -0.851571
1.03332 0.859004 0.511996 -0.856428
1.03958 0.862194 0.506612 -0.862948
1.04585 0.865349 0.501187 -0.869467
1.05211 0.868471 0.495736 -0.870779
1.05837 0.871559 0.490281 -0.871307
1.06464 0.874612 0.484823 -0.872252
1.0709 0.877631 0.479343 -0.87778
1.07716 0.880616 0.473828 -0.883307
1.08342 0.883566 0.468281 -0.886769
1.08969 0.886481 0.462732 -0.885366
1.09595 0.889361 0.457192 -0.883962
1.10221 0.892207 0.451653 -0.88695
1.10847 0.895018 0.446076 -0.894115
1.11474 0.897794 0.440454 -0.90128
1.121 0.900535 0.434798 -0.904004
1.12726 0.90324 0.429133 -0.905061
1.13352 0.90591 0.423462 -0.906118
1.13979 0.908544 0.417779 -0.908783
1.14605 0.911143 0.412079 -0.911548
1.15231 0.913705 0.406362 -0.9142
1.15857 0.916232 0.40063 -0.916239
1.16484 0.918723 0.394886 -0.918278
1.1711 0.921178 0.389128 -0.92076
1.17736 0.923597 0.383352 -0.923996
1.18362 0.92598 0.377555 -0.927232
1.18989 0.928326 0.371742 -0.928092
1.19615 0.930636 0.365933 -0.927265
1.20241 0.932909 0.360128 -0.926439
1.20867 0.935147 0.354313 -0.931988
1.21494 0.937347 0.348454 -0.939137
1.2212 0.939511 0.34255 -0.946194
1.22746 0.941638 0.336623 -0.946738
1.23372 0.943727 0.330692 -0.947282
1.23999 0.94578 0.324759 -0.947189
1.24625 0.947795 0.318834 -0.944942
1.25251 0.949773 0.312923 -0.942694
1.25877 0.951714 0.30702 -0.945183
1.26504 0.953618 0.301074 -0.953628
1.2713 0.955485 0.295076 -0.962073
1.27756 0.957314 0.28904 -0.96285
1.28382 0.959105 0.28302 -0.959629
1.29009 0.960859 0.27702 -0.956408
1.29635 0.962575 0.271023 -0.959864
1.30261 0.964254 0.264998 -0.964301
1.30888 0.965894 0.258945 -0.968323
1.31514 0.967497 0.252882 -0.967953
1.3214 0.969062 0.246821 -0.967582
1.32766 0.970588 0.240761 -0.968564
1.33393 0.972077 0.234683 -0.972686
1.34019 0.973528 0.228578 -0.976808
1.34645 0.97494 0.222453 -0.977795
1.35271 0.976314 0.216336 -0.975834
1.35898 0.97765 0.210231 -0.973873
1.36524 0.978947 0.204129 -0.976059
1.3715 0.980206 0.198004 -0.979782
1.37776 0.981427 0.191857 -0.983504
1.38403 0.982609 0.185693 -0.984871
1.39029 0.983753 0.179521 -0.9861
1.39655 0.984858 0.173342 -0.986886
1.40281 0.985924 0.167166 -0.985329
1.40908 0.986952 0.161001 -0.983772
1.41534 0.987941 0.154842 -0.984662
1.4216 0.988891 0.14866 -0.989662
1.42786 0.989803 0.142446 -0.994662
1.43413 0.990675 0.136211 -0.994204
1.44039 0.991509 0.129998 -0.989919
1.44665 0.992303 0.123812 -0.985633
1.45291 0.993059 0.117634 -0.988848
1.45918 0.993777 0.111426 -0.993911
1.46544 0.994455 0.105186 -0.998859
1.4717 0.995094 0.0989359 -0.997048
1.47796 0.995694 0.0926975 -0.995238
1.48423 0.996255 0.0864697 -0.99435
1.49049 0.996777 0.0802357 -0.996529
1.49675 0.99726 0.0739881 -0.998709
1.50301 0.997704 0.067728 -0.999993
1.50928 0.998108 0.061465 -1.00016
1.51554 0.998474 0.0552009 -1.00033
1.5218 0.9988 0.0489398 -0.998503
1.52806 0.999087 0.0426956 -0.995643
1.53433 0.999335 0.0364693 -0.992782
1.54059 0.999544 0.030244 -0.996091
1.54685 0.999713 0.0239928 -1.00028
1.55311 0.999844 0.0177154 -1.00412
1.55938 0.999935 0.0114262 -1.00437
1.56564 0.999987 0.00513554 -1.00462
1.5719 1 -0.00115515 -1.00322
1.57817 0.999973 -0.00742163 -0.998038
1.58443 0.999907 -0.0136557 -0.992859
1.59069 0.999802 -0.019867 -0.993634
1.59695 0.999658 -0.0261094 -0.999947
1.60322 0.999475 -0.0323914 -1.00626
1.60948 0.999252 -0.0386924 -1.00361
1.61574 0.99899 -0.0449591 -0.997696
1.622 0.998689 -0.0511887 -0.991779
1.62827 0.998349 -0.0574068 -0.994496
1.63453 0.99797 -0.0636449 -0.997696
1.64079 0.997552 -0.0699028 -1.00041
1.64705 0.997094 -0.0761686 -1.00061
1.65332 0.996598 -0.0824356 -1.0008
1.65958 0.996062 -0.0887019 -0.999427
1.66584 0.995487 -0.0949484 -0.995441
1.6721 0.994873 -0.10117 -0.991454
1.67837 0.99422 -0.107373 -0.990762
1.68463 0.993528 -0.113582 -0.992355
1.69089 0.992797 -0.119802 -0.993948
1.69715 0.992027 -0.126024 -0.992339
1.70342 0.991219 -0.132231 -0.989954
1.70968 0.990371 -0.138423 -0.987632
1.71594 0.989485 -0.144611 -0.988502
1.7222 0.98856 -0.150804 -0.989371
1.72847 0.987596 -0.157002 -0.989782
1.73473 0.986593 -0.163197 -0.988688
1.74099 0.985552 -0.169386 -0.987593
1.74725 0.984472 -0.175566 -0.985388
1.75352 0.983353 -0.181725 -0.981817
1.75978 0.982196 -0.187863 -0.978245
1.76604 0.981 -0.193985 -0.977853
1.7723 0.979766 -0.200112 -0.979076
1.77857 0.978494 -0.206248 -0.9803
1.78483 0.977183 -0.212385 -0.979289
1.79109 0.975833 -0.218513 -0.977967
1.79735 0.974446 -0.224634 -0.976489
1.80362 0.97302 -0.23074 -0.973477
1.80988 0.971556 -0.236827 -0.970465
1.81614 0.970054 -0.242895 -0.968135
1.8224 0.968514 -0.248956 -0.967348
1.82867 0.966935 -0.255012 -0.966562
1.83493 0.96532 -0.261062 -0.965706
1.84119 0.963666 -0.267107 -0.964786
1.84746 0.961974 -0.273146 -0.963866
1.85372 0.960245 -0.279177 -0.961702
1.85998 0.958477 -0.285191 -0.959089
1.86624 0.956672 -0.291189 -0.956477
1.87251 0.95483 -0.297171 -0.953698
1.87877 0.95295 -0.303135 -0.950911
1.88503 0.951033 -0.309081 -0.948517
