# range of table (0,6.26256)
4.00178 -0.757961 -0.6523 0.760979
4.00804 -0.762031 -0.647527 0.763307
4.0143 -0.766071 -0.642739 0.76621
4.02056 -0.770081 -0.637928 0.770273
4.02683 -0.774061 -0.633091 0.774336
4.03309 -0.778011 -0.62823 0.77763
4.03935 -0.78193 -0.623352 0.780286
4.04561 -0.785818 -0.618457 0.782941
4.05188 -0.789676 -0.613539 0.788559
4.05814 -0.793503 -0.60858 0.795109
4.0644 -0.797298 -0.60358 0.80166
4.07066 -0.801062 -0.59856 0.801293
4.07693 -0.804795 -0.593543 0.800748
4.08319 -0.808497 -0.588529 0.80216
4.08945 -0.812167 -0.583475 0.811945
4.09571 -0.815805 -0.57836 0.821731
4.10198 -0.81941 -0.573189 0.826269
4.10824 -0.822984 -0.568025 0.823065
4.1145 -0.826525 -0.56288 0.81986
4.12076 -0.830034 -0.55774 0.82489
4.12703 -0.833511 -0.552542 0.835001
4.13329 -0.836955 -0.547282 0.845113
4.13955 -0.840365 -0.541983 0.845263
4.14581 -0.843743 -0.536696 0.843414
4.15208 -0.847088 -0.531419 0.841859
4.15834 -0.850399 -0.526134 0.846221
4.1646 -0.853677 -0.52082 0.850584
4.17086 -0.856922 -0.51548 0.855279
4.17713 -0.860134 -0.510106 0.860914
4.18339 -0.863311 -0.504697 0.866549
4.18965 -0.866455 -0.499255 0.870172
4.19592 -0.869565 -0.493801 0.871584
4.20218 -0.87264 -0.488338 0.872996
4.20844 -0.875681 -0.482865 0.875418
4.2147 -0.878688 -0.477373 0.878291
4.22097 -0.88166 -0.471864 0.881164
4.22723 -0.884598 -0.466341 0.882569
4.23349 -0.887501 -0.46081 0.883821
4.23975 -0.89037 -0.455271 0.885675
4.24602 -0.893204 -0.449704 0.891952
4.25228 -0.896002 -0.444099 0.898229
4.25854 -0.898766 -0.438455 0.903061
4.2648 -0.901494 -0.432794 0.905014
4.27107 -0.904187 -0.42712 0.906967
4.27733 -0.906844 -0.421436 0.907885
4.28359 -0.909465 -0.41575 0.907951
4.28985 -0.912051 -0.410064 0.908017
4.29612 -0.914601 -0.404368 0.911743
4.30238 -0.917116 -0.398643 0.916603
4.30864 -0.919594 -0.392887 0.921464
4.3149 -0.922037 -0.387111 0.92326
4.32117 -0.924443 -0.381324 0.924986
4.32743 -0.926813 -0.375525 0.92684
4.33369 -0.929146 -0.369713 0.929232
4.33995 -0.931443 -0.363887 0.931623
4.34622 -0.933704 -0.358044 0.934207
4.35248 -0.935928 -0.352185 0.937071
4.35874 -0.938115 -0.346308 0.939935
4.365 -0.940265 -0.340415 0.941212
4.37127 -0.942379 -0.33452 0.94152
4.37753 -0.944455 -0.328623 0.941829
4.38379 -0.946495 -0.322718 0.94437
4.39005 -0.948497 -0.316794 0.947351
4.39632 -0.950463 -0.310852 0.950279
4.40258 -0.952391 -0.304895 0.952204
4.40884 -0.954281 -0.298925 0.954129
4.4151 -0.956135 -0.292944 0.956464
4.42137 -0.957951 -0.286943 0.959941
4.42763 -0.959729 -0.28092 0.963418
4.43389 -0.961469 -0.27488 0.964426
4.44016 -0.963172 -0.268845 0.96275
4.44642 -0.964836 -0.262821 0.961075
4.45268 -0.966464 -0.2568 0.962799
4.45894 -0.968053 -0.250761 0.966025
4.46521 -0.969604 -0.244701 0.969251
4.47147 -0.971118 -0.238621 0.972206
4.47773 -0.972593 -0.232524 0.975135
4.48399 -0.97403 -0.226408 0.977608
4.49026 -0.975429 -0.220288 0.976826
4.49652 -0.976789 -0.214173 0.976043
4.50278 -0.978111 -0.208063 0.975593
4.50904 -0.979395 -0.201952 0.975794
4.51531 -0.980641 -0.195841 0.975996
4.52157 -0.981848 -0.189721 0.979977
4.52783 -0.983017 -0.183562 0.987032
4.53409 -0.984147 -0.177358 0.994086
4.54036 -0.985238 -0.171137 0.990233
4.54662 -0.986291 -0.164958 0.983048
4.55288 -0.987305 -0.158824 0.975862
4.55914 -0.98828 -0.152691 0.983105
4.56541 -0.989217 -0.146511 0.990635
4.57167 -0.990115 -0.140284 0.996365
4.57793 -0.990974 -0.13405 0.994666
4.58419 -0.991794 -0.127826 0.992967
4.59046 -0.992575 -0.121612 0.991664
4.59672 -0.993317 -0.115404 0.990929
4.60298 -0.994021 -0.109201 0.990195
4.60924 -0.994685 -0.102995 0.992812
4.61551 -0.995311 -0.0967634 0.997447
4.62177 -0.995897 -0.0905023 1.00208
4.62803 -0.996444 -0.0842304 0.99977
4.63429 -0.996952 -0.0779807 0.99612
4.64056 -0.997421 -0.0717538 0.992816
4.64682 -0.997851 -0.0655272 0.995703
4.65308 -0.998242 -0.0592825 0.998591
4.65934 -0.998593 -0.0530206 1.00049
4.66561 -0.998906 -0.0467575 0.999665
4.67187 -0.999179 -0.0404996 0.998845
4.67813 -0.999413 -0.034246 0.99861
4.68439 -0.999608 -0.0279909 0.999007
4.69066 -0.999763 -0.0217333 0.999403
4.69692 -0.99988 -0.015475 0.998991
4.70318 -0.999957 -0.00922117 0.998226
4.70945 -0.999995 -0.00297211 0.997461
4.71571 -0.999995 0.00328106 0.999818
4.72197 -0.999954 0.00955082 1.00248
4.72823 -0.999875 0.015837 1.00446
4.7345 -0.999756 0.0221187 1.00165
4.74076 -0.999598 0.0283828 0.998843
4.74702 -0.999401 0.0346309 0.997496
4.75328 -0.999164 0.0408824 0.998985
4.75955 -0.998888 0.0471433 1.00047
4.76581 -0.998574 0.053409 0.999392
4.77207 -0.99822 0.0596579 0.996242
4.77833 -0.997826 0.065887 0.993093
4.7846 -0.997394 0.0721098 0.995464
4.79086 -0.996923 0.0783566 0.999495
4.79712 -0.996413 0.0846286 1.00353
4.80338 -0.995863 0.0908958 0.997795
4.80965 -0.995274 0.0971261 0.991898
4.81591 -0.994647 0.103321 0.988236
4.82217 -0.99398 0.109527 0.993635
4.82843 -0.993275 0.115766 0.999035
4.8347 -0.99253 0.122032 0.998653
4.84096 -0.991747 0.128259 0.99003
4.84722 -0.990924 0.134432 0.981407
4.85348 -0.990063 0.140572 0.983113
4.85975 -0.989163 0.146753 0.990972
4.86601 -0.988225 0.152984 0.998831
4.87227 -0.987247 0.159227 0.992798
4.87853 -0.98623 0.165417 0.984142
4.8848 -0.985175 0.171554 0.976277
4.89106 -0.984082 0.177685 0.981805
4.89732 -0.98295 0.183851 0.987332
4.90358 -0.981779 0.190049 0.989643
4.90985 -0.980569 0.196227 0.983267
4.91611 -0.979321 0.202364 0.976892
4.92237 -0.978035 0.208466 0.972996
4.92863 -0.97671 0.214555 0.971737
4.9349 -0.975347 0.220637 0.970477
4.94116 -0.973947 0.226719 0.973129
4.94742 -0.972508 0.232827 0.977463
4.95368 -0.97103 0.238962 0.981797
4.95995 -0.969515 0.245089 0.973949
4.96621 -0.967961 0.251161 0.96495
4.97247 -0.966369 0.257176 0.957533
4.97874 -0.96474 0.263183 0.960883
4.985 -0.963072 0.269211 0.964232
4.99126 -0.961368 0.275258 0.964927
4.99752 -0.959625 0.281287 0.960528
5.00379 -0.957845 0.287288 0.956128
5.01005 -0.956027 0.293267 0.954231
5.01631 -0.954171 0.299243 0.954322
5.02257 -0.952279 0.30522 0.954414
5.02884 -0.950348 0.311191 0.952085
5.0351 -0.948381 0.317144 0.949039
5.04136 -0.946376 0.323078 0.945993
5.04762 -0.944334 0.328996 0.943915
5.05389 -0.942255 0.334901 0.94185
5.06015 -0.94014 0.340793 0.939628
5.06641 -0.937987 0.346668 0.936775
5.07267 -0.935798 0.352526 0.933923
5.07894 -0.933572 0.358367 0.931971
5.0852 -0.931309 0.364201 0.931288
5.09146 -0.92901 0.370031 0.930605
5.09772 -0.926674 0.375856 0.929412
5.10399 -0.924302 0.381672 0.927917
5.11025 -0.921894 0.387478 0.926423
5.11651 -0.919449 0.393262 0.919863
5.12277 -0.916968 0.398999 0.912366
5.12904 -0.914452 0.40469 0.905492
5.1353 -0.9119 0.41037 0.908661
5.14156 -0.909312 0.416071 0.91183
5.14782 -0.906688 0.421789 0.91272
5.15409 -0.904029 0.427489 0.907542
5.16035 -0.901334 0.433156 0.902364
5.16661 -0.898604 0.438792 0.897911
5.17287 -0.895838 0.444404 0.89422
5.17914 -0.893037 0.449992 0.89053
5.1854 -0.890202 0.455562 0.888521
5.19166 -0.887332 0.461122 0.887225
5.19792 -0.884426 0.466674 0.885929
5.20419 -0.881486 0.472208 0.880979
5.21045 -0.878512 0.477708 0.875696
5.21671 -0.875503 0.483176 0.871261
5.22298 -0.87246 0.488636 0.872454
5.22924 -0.869383 0.494104 0.873646
5.2355 -0.866271 0.499576 0.872159
5.24176 -0.863126 0.505017 0.865594
5.24803 -0.859946 0.510418 0.859029
5.25429 -0.856733 0.51578 0.854322
5.26055 -0.853486 0.52112 0.851077
5.26681 -0.850206 0.52644 0.847831
5.27308 -0.846892 0.531742 0.845792
5.27934 -0.843546 0.537034 0.844104
5.2856 -0.840166 0.542315 0.842416
5.29186 -0.836753 0.547578 0.838285
5.29813 -0.833307 0.552814 0.834126
5.30439 -0.829829 0.558025 0.830221
5.31065 -0.826318 0.563216 0.827309
5.31691 -0.822775 0.568387 0.824397
5.32318 -0.819199 0.57354 0.820434
5.32944 -0.815591 0.578661 0.815004
5.3357 -0.811951 0.583748 0.809574
5.34196 -0.80828 0.588803 0.805249
5.34823 -0.804577 0.593834 0.801566
5.35449 -0.800842 0.598843 0.797883
5.36075 -0.797076 0.603834 0.79641
5.36701 -0.793279 0.608818 0.795337
5.37328 -0.78945 0.613795 0.793951
5.37954 -0.785591 0.618748 0.787769
5.3858 -0.781701 0.623662 0.781588
5.39206 -0.77778 0.628539 0.776418
5.39833 -0.773828 0.633393 0.773902
5.40459 -0.769846 0.638232 0.771386
5.41085 -0.765834 0.643053 0.767657
5.41711 -0.761792 0.647845 0.762667
5.42338 -0.75772 0.652605 0.757676
5.42964 -0.753618 0.657334 0.75209
5.4359 -0.749487 0.662025 0.746255
5.44216 -0.745326 0.66668 0.74042
5.44843 -0.741137 0.671315 0.739965
5.45469 -0.736918 0.675949 0.739984
5.46095 -0.73267 0.680583 0.738878
5.46721 -0.728394 0.685184 0.730481
5.47348 -0.724088 0.689732 0.722085
5.47974 -0.719755 0.69423 0.715977
5.486 -0.715393 0.698708 0.714152
5.49227 -0.711004 0.703175 0.712328
5.49853 -0.706586 0.707627 0.708412
5.50479 -0.70214 0.712046 0.702872
5.51105 -0.697667 0.71643 0.697331
5.51732 -0.693167 0.720782 0.692734
5.52358 -0.68864 0.725107 0.688409
5.52984 -0.684085 0.729405 0.684083
5.5361 -0.679504 0.733672 0.678623
5.54237 -0.674896 0.737904 0.673153
5.54863 -0.670262 0.742103 0.668376
5.55489 -0.665601 0.746283 0.666267
5.56115 -0.660914 0.750449 0.664157
5.56742 -0.656202 0.754598 0.659853
5.57368 -0.651463 0.758708 0.652526
5.57994 -0.646699 0.762771 0.645198
5.5862 -0.641909 0.766793 0.640002
5.59247 -0.637095 0.770789 0.63603
5.59873 -0.632255 0.77476 0.632058
5.60499 -0.627391 0.778703 0.627129
5.61125 -0.622502 0.782614 0.62203
5.61752 -0.617588 0.786494 0.617005
5.62378 -0.612651 0.790346 0.613058
5.63004 -0.607689 0.794172 0.609111
5.6363 -0.602704 0.797974 0.604195
5.64257 -0.597695 0.801734 0.596769
5.64883 -0.592662 0.805448 0.589342
5.65509 -0.587606 0.80912 0.58472
5.66135 -0.582528 0.812777 0.582982
5.66762 -0.577426 0.816422 0.581243
5.67388 -0.572302 0.820049 0.575885
5.68014 -0.567155 0.823634 0.569029
5.6864 -0.561986 0.827176 0.562174
5.69267 -0.556795 0.830677 0.555894
5.69893 -0.551582 0.834139 0.549662
5.70519 -0.546347 0.837562 0.543789
5.71145 -0.541091 0.840956 0.540178
5.71772 -0.535814 0.844327 0.536567
5.72398 -0.530516 0.847675 0.531542
5.73024 -0.525197 0.85098 0.523904
5.7365 -0.519858 0.854237 0.516266
5.74277 -0.514498 0.857452 0.512253
5.74903 -0.509118 0.860657 0.511024
5.75529 -0.503718 0.863853 0.509795
5.76156 -0.498298 0.867028 0.502753
5.76782 -0.492858 0.870149 0.49407
5.77408 -0.487399 0.873216 0.485388
5.78034 -0.481921 0.876235 0.478865
5.78661 -0.476425 0.879214 0.472354
5.79287 -0.470909 0.882152 0.467064
5.79913 -0.465376 0.885075 0.466399
5.80539 -0.459824 0.887994 0.465734
5.81166 -0.454253 0.890902 0.460243
5.81792 -0.448665 0.893747 0.44818
5.82418 -0.443059 0.896516 0.436117
5.83044 -0.437436 0.899224 0.431346
5.83671 -0.431796 0.901923 0.430714
5.84297 -0.42614 0.904618 0.430082
5.84923 -0.420466 0.907296 0.424325
5.85549 -0.414776 0.909933 0.417679
5.86176 -0.409069 0.912528 0.410931
5.86802 -0.403346 0.915076 0.402753
5.87428 -0.397608 0.917572 0.394576
5.88054 -0.391854 0.920019 0.387823
5.88681 -0.386084 0.922438 0.384709
5.89307 -0.3803 0.924837 0.381596
5.89933 -0.374501 0.927214 0.376217
5.90559 -0.368687 0.929546 0.368536
5.91186 -0.362858 0.93183 0.360854
5.91812 -0.357015 0.934075 0.357527
5.92438 -0.351159 0.93631 0.355974
5.93064 -0.345288 0.938534 0.354422
5.93691 -0.339404 0.940714 0.340967
5.94317 -0.333506 0.942804 0.326544
5.94943 -0.327595 0.944805 0.314494
5.95569 -0.321672 0.946783 0.317112
5.96196 -0.315736 0.948777 0.31973
5.96822 -0.309788 0.950783 0.317812
5.97448 -0.303828 0.952741 0.307606
5.98074 -0.297855 0.954636 0.297401
5.98701 -0.291871 0.956472 0.29057
5.99327 -0.285875 0.958278 0.286304
5.99953 -0.279869 0.960058 0.282037
6.0058 -0.273851 0.961804 0.274755
6.01206 -0.267822 0.963499 0.266635
6.01832 -0.261783 0.965143 0.258516
6.02458 -0.255734 0.966744 0.252784
6.03085 -0.249674 0.968309 0.247058
6.03711 -0.243605 0.969839 0.241619
6.04337 -0.237527 0.971338 0.237249
6.04963 -0.231439 0.97281 0.232879
6.0559 -0.225343 0.974255 0.228195
6.06216 -0.219237 0.975668 0.223088
6.06842 -0.213122 0.977049 0.217981
6.07468 -0.206999 0.978391 0.209359
6.08095 -0.200868 0.979669 0.198765
6.08721 -0.194729 0.980881 0.188171
6.09347 -0.188582 0.982045 0.18487
6.09973 -0.182429 0.983197 0.182803
6.106 -0.176268 0.984335 0.180222
6.11226 -0.1701 0.985434 0.170769
6.11852 -0.163925 0.986474 0.161315
6.12478 -0.157744 0.987456 0.153812
6.13105 -0.151557 0.988411 0.151223
6.13731 -0.145364 0.98935 0.148634
6.14357 -0.139166 0.990268 0.143096
6.14983 -0.132961 0.991138 0.134591
6.1561 -0.126752 0.991954 0.126086
6.16236 -0.120537 0.992721 0.119466
6.16862 -0.114318 0.993451 0.113604
6.17488 -0.108094 0.994144 0.107742
6.18115 -0.101866 0.9948 0.101502
6.18741 -0.095634 0.995416 0.0952319
6.19367 -0.0893983 0.995992 0.0890195
6.19993 -0.0831592 0.996531 0.0831529
6.2062 -0.0769167 0.997034 0.0772862
6.21246 -0.0706713 0.997499 0.0712425
6.21872 -0.064423 0.997926 0.0648792
6.22498 -0.0581722 0.998312 0.0585159
6.23125 -0.0519191 0.998657 0.0514402
6.23751 -0.045664 0.998955 0.0438292
6.24377 -0.0394072 0.999206 0.0362182
6.25003 -0.0331489 0.999424 0.0345857
6.2563 -0.0268893 0.99964 0.0345857
6.26256 -0.0206283 0.999857 0.0345857
